grid_wind_mps,grid_rotor_speed_rpm,actual_wind_mps,actual_rotor_speed_rpm,wind_error_mps,rotor_speed_error_rpm,lin_time_s,lin_file,GTomega,GTbeta,GTu,GFomega,GFbeta,GFu
24,6.5,24.0,6.50000524521,0.0,5.245209999671374e-06,3.325,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_6.5rpm.lin,-99090.7713599,106814.693647,148295.801325,-438.759215157,4077.3849628,5671.61073688
24,7.0,24.0,6.99932289124,0.0,-0.0006771087599997117,2.898,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_7rpm.lin,-12537.4453579,81995.890806,231840.209827,-301.282093766,4137.29233351,8278.79251636
24,7.5,24.0,7.49963569641,0.0,-0.000364303589999615,2.661,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_7.5rpm.lin,8617.4065136,85434.6283067,306833.223237,222.641681735,5373.70761228,11497.8753161
24,8.0,24.0,8.00086021423,0.0,0.0008602142300002669,2.386,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_8rpm.lin,5574.07310118,92924.6589809,432647.593076,182.551636677,7376.57826768,16657.181212
24,8.5,24.0,8.50072002411,0.0,0.0007200241100004945,2.211,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_8.5rpm.lin,6392.07298525,113835.030043,521262.678065,197.252090269,9457.115611,20300.2751613
24,9.0,24.0,8.99953079224,0.0,-0.0004692077600001454,2.021,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_9rpm.lin,5327.90159563,98330.1648871,595560.980149,196.419175112,10335.6877063,25257.8148648
24,9.5,24.0,9.50060462952,0.0,0.0006046295199997331,1.75,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_9.5rpm.lin,5111.0950823,102155.837764,642142.448893,190.092904912,12102.9595455,27108.5133054
24,10.0,24.0,9.99913883209,0.0,-0.0008611679099992386,1.548,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_10rpm.lin,4307.33205831,80059.7484544,600996.91723,142.237439038,10909.8852975,26752.2051766
24,10.5,24.0,10.4991378784,0.0,-0.0008621216000008758,1.391,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_10.5rpm.lin,3593.44443967,62190.4594024,622253.651429,162.378003062,11721.9367642,30193.3091219
24,11.0,24.0,11.00066185,0.0,0.0006618500000001859,1.098,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_11rpm.lin,3835.6851096,33601.3436153,754302.518276,173.049596986,11595.8099825,40316.0857297
24,11.5,24.0,11.4981536865,0.0,-0.0018463134999997521,0.93,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_11.5rpm.lin,3629.45727736,40572.2024186,765847.617848,159.444616854,10522.1363115,42922.3722627
24,12.0,24.0,11.9992837906,0.0,-0.0007162094000001673,0.791,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\24mps_12rpm.lin,4027.36053498,58703.7909059,775047.171446,206.242335542,11326.5888276,44035.1637304
25,1.0,25.0,1.00025629997,0.0,0.0002562999699999846,8.959,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_1rpm.lin,5031.99177358,88373.2455592,-263130.867414,-25.513257554,-2656.04299626,1470.03680781
25,1.5,25.0,1.50030660629,0.0,0.00030660628999990003,8.665,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_1.5rpm.lin,6821.37924595,145862.932601,-321436.485041,21.5591868908,-1844.69073655,725.947038425
25,2.0,25.0,1.99971485138,0.0,-0.0002851486199999531,8.206,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_2rpm.lin,6657.5182214,124538.686136,-354847.086469,54.9690530007,-857.148560497,-299.753725387
25,2.5,25.0,2.49986243248,0.0,-0.0001375675199999371,7.828,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_2.5rpm.lin,8478.94275008,142112.244603,-352354.720061,119.312339258,70.0296220385,-1034.46613682
25,3.0,25.0,2.99964022636,0.0,-0.0003597736400000606,7.284,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_3rpm.lin,6905.89293461,147128.633026,-291986.454371,127.389203806,561.814547982,-1486.48696326
25,3.5,25.0,3.49962306023,0.0,-0.0003769397700001953,6.859,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_3.5rpm.lin,12385.3161422,144998.799679,-306718.631678,-270.424497762,826.488026073,-2339.39115375
25,4.0,25.0,4.00020265579,0.0,0.00020265578999989486,6.328,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_4rpm.lin,87411.1803281,218982.642628,-245204.450399,-3451.27079678,2532.97120395,-2401.55483641
25,4.5,25.0,4.49934005737,0.0,-0.000659942629999577,5.946,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_4.5rpm.lin,154864.945048,335803.178469,-233709.484634,-6691.87843827,5951.8572462,-3097.55307993
25,5.0,25.0,4.99977397919,0.0,-0.00022602080999956087,5.542,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\25mps_5rpm.lin,94528.4655971,314060.16223,-237963.696263,-9861.63085459,6180.9951463,-3945.74323778
